Date,Province,District,Ga.Pa/Na.Pa.,Ward,Protected Area,Confidence,Lat,Lon
06/01/2023,Karnali,Surkhet,Barahtal,4,,77,28.68878,81.42194
06/01/2023,Karnali,Surkhet,Barahtal,4,,81,28.68713,81.40667
06/01/2023,Karnali,Jajarkot,Chhedagad,9,,91,28.78158,82.06334
06/01/2023,Karnali,Jajarkot,Chhedagad,9,,90,28.77382,82.07295
06/01/2023,Lumbini,Dang,Banglachuli,8,,77,27.93699,82.60298
06/01/2023,Karnali,Jajarkot,Chhedagad,9,,61,28.77784,82.06461
06/01/2023,Lumbini,Rolpa,Rolpa,5,,89,28.23714,82.59684
06/02/2023,Karnali,Salyan,Sharada,13,,58,28.40894,82.24231
06/02/2023,Bagmati,Ramechap,Ramechhap,5,,78,27.28249,86.15771
06/02/2023,Bagmati,Ramechap,Ramechhap,5,,79,27.27805,86.16828
06/02/2023,Lumbini,Rolpa,Runtigadi,1,,67,28.23535,82.56671
06/02/2023,Lumbini,Rolpa,Rolpa,5,,20,28.23082,82.6027
06/02/2023,Lumbini,Rolpa,Rolpa,5,,69,28.24644,82.60018
06/02/2023,Lumbini,Rolpa,Rolpa,5,,96,28.24247,82.59857
06/02/2023,Lumbini,Pyuthan,Sworgadwary,9,,55,28.08868,82.70722
06/02/2023,Lumbini,Pyuthan,Sworgadwary,9,,50,28.08786,82.71526
06/03/2023,far west,bajura,Budhiganga,10,,60,29.31944,81.25898
06/03/2023,far west,surprise,Sanphebagar,13,,86,29.32313,81.23895
06/03/2023,Lumbini,Rolpa,Rolpa,5,,41,28.23787,82.60133
06/03/2023,far west,Dottie,Adharsha,5,,56,29.3558,80.79081
06/03/2023,far west,Dottie,Adharsha,5,,82,29.35438,80.78034
06/03/2023,Gandaki,Sanja,Galyang,2,,63,27.93088,83.62077
06/03/2023,Lumbini,left,Rapti Sonari,5,,39,28.02356,81.82755
06/03/2023,Lumbini,Rolpa,Rolpa,5,,81,28.23393,82.60618
06/03/2023,Lumbini,Rolpa,Rolpa,5,,56,28.24988,82.5788
06/03/2023,Karnali,Salyan,Chhatreshwori,7,,80,28.30792,82.19678
06/03/2023,Karnali,Salyan,Chhatreshwori,7,,73,28.3172,82.19459
06/03/2023,Karnali,Salyan,Chhatreshwori,4,,70,28.34646,82.3504
06/03/2023,Karnali,Salyan,Chhatreshwori,4,,77,28.34511,82.33965
06/03/2023,Lumbini,left,Baijanath,4,Banke National Park,55,28.28311,81.71043
06/03/2023,Lumbini,left,Baijanath,1,Banke National Park,61,28.28171,81.69975
06/03/2023,far west,Kailali,Bhajani,4,,79,28.56077,80.96896
06/03/2023,far west,Kailali,Gauriganga,11,,64,28.68391,80.86057
06/03/2023,Karnali,Dailekh,Aathabis,1,,57,28.9335,81.47669
06/03/2023,far west,Kailali,Chure,1,,51,28.99369,80.69968
06/03/2023,Lumbini,Rolpa,Runtigadi,4,,86,28.20624,82.562
06/03/2023,Lumbini,Rolpa,Runtigadi,5,,58,28.20484,82.55202
06/03/2023,Lumbini,Rolpa,Rolpa,5,,89,28.24197,82.61042
06/03/2023,Karnali,Surkhet,Birendranagar,13,,73,28.60409,81.66105
06/03/2023,Karnali,Surkhet,Barahtal,5,,76,28.70786,81.42037
06/03/2023,Karnali,Dailekh,Gurans,1,,79,28.74955,81.57961
06/03/2023,far west,bajura,Badimalika,4,,80,29.41632,81.40845
06/05/2023,Bagmati,Nuwakot,Shivapuri,4,,65,27.85635,85.41674
06/05/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,40,28.33489,81.65528
06/05/2023,Karnali,Salyan,Bangad Kupinde,3,,37,28.56901,82.08717
06/05/2023,Karnali,Salyan,Bangad Kupinde,3,,59,28.57794,82.08498
06/05/2023,Lumbini,Rolpa,Suwarnabati,2,,100,28.23167,82.67401
06/05/2023,Koshi,Okhaldhunga,Siddhicharan,1,,52,27.24173,86.60706
06/05/2023,Lumbini,Gulmi,Chatrakot,1,,58,28.02461,83.40224
06/05/2023,Lumbini,Pyuthan,Naubahini,7,,42,28.20855,82.84264
06/05/2023,Lumbini,Rolpa,Suwarnabati,2,,86,28.23367,82.68579
06/05/2023,Karnali,Salyan,Chhatreshwori,4,,65,28.33037,82.3501
06/05/2023,Karnali,Salyan,Chhatreshwori,4,,89,28.34039,82.34676
06/05/2023,Karnali,Salyan,Chhatreshwori,4,,60,28.33983,82.35086
06/05/2023,Karnali,Salyan,Chhatreshwori,4,,50,28.34365,82.35691
06/06/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,53,28.3416,81.64794
06/07/2023,Lumbini,Palpa,Rampur,4,,77,27.85335,83.91559
06/07/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,62,28.3488,81.66022
06/07/2023,Karnali,Surkhet,Barahtal,2,,62,28.60634,81.45419
06/07/2023,far west,Kailali,Mohanyal,1,,67,28.84022,81.05694
06/07/2023,Lumbini,Palpa,Rampur,3,,24,27.82784,83.93483
06/07/2023,Lumbini,Parasite,Sunwal,10,,68,27.59869,83.61742
06/07/2023,Karnali,Salyan,Bangad Kupinde,2,,72,28.57608,82.05165
06/07/2023,far west,Kailali,Lamkichuha,3,,56,28.61362,81.20273
